m-3AAr: e-9999 
m-5AAr: e-6 
m-4AC: o-9 
m-6AA: o-13 
m26AG: e1 e60 
m7AEr: e5 o-45 
m-21AF: e11 e42 
R-5m-10AG: e15 o-9 
m-11AD: e23 e-9999 
m-10ABr: e35 o-4 
m-3AD: e35 e-17 
m-18AC: e36 e22 
m-33ACr: e9999 e17 o37 
m-12AFr: e9999 e29 e0 
m2ABr: e9999 e58 e39 
m8AA: e1 e23 e8 
m0ABr: e1 e23 o11 
m15AD: e1 e38 e26 
R12m26AG: o1 o39 o12 
L15m26AG: e1 e56 e-30 
m-13AAr: e4 e9999 e20 
m-8AA: e4 e9999 e24 
m-13AD: e5 o-17 e-28 
R-9m7AEr: e5 e-30 o4 
R-8m7AEr: e5 e-32 e15 
L-17m7AEr: e5 e-38 e7 
L-1m7AEr: e5 e-50 e-51 
m6AE: o-7 o-11 e-8 
m0AA: o-7 o-11 o-13 
m2AC: o-7 o-29 o-53 
m-2ABr: e15 e2 e9999 
m-7AF: e15 e2 e5 
m-7ACr: e15 e2 o1 
L-12m2AC: o19 o32 e26 
L-41m-20ABr: e19 e33 e55 
m-16AC: e19 e33 e-5 
m9AAr: e19 o29 o14 
m-5AB: e19 o29 o38 
L-25m-2AC: e19 o33 o-29 
L-25m10AFr: e19 o33 o-33 
L-25m-6AA: e19 o33 o-45 
L-25m6AFr: e19 o33 e-54 
m-13ACr: e23 e13 e9999 
m-21AAr: e23 e26 o-15 
m-1AD: e24 e24 e13 
m2AA: e24 e24 o-6 
m-14AG: e26 e-9999 e4 
m-20AA: e26 e-26 e15 
m-18ADr: e26 e36 e28 
m-23AEr: e26 e36 e35 
m-12ABr: e26 e36 e56 
m-10AC: e29 e19 e4 
m-3AF: e29 e19 e-4 
m-12ADr: e29 e23 e9 
m-8ABr: e29 e28 e9999 
m-6AC: e29 o2 o7 
R-8m-6AC: e29 o-14 o-39 
m-2AE: e29 e-25 e33 
m-4AA: e32 e8 e15 
m4AE: e33 o32 e21 
m3AF: e33 o32 e23 
m9AGr: e35 e-2 e-16 
R-4m-6ADr: o35 e-3 o-5 
m6AG: e35 o-3 o17 
L-14m-4AC: o35 e-8 e-17 
m-16AG: e35 o-12 e9999 
m1AF: e36 e30 e1 
m-5AF: e38 e-9999 o0 
L-1m-13AGr: e1 e45 o-53 e-5 e-30 
L8m16AE: e1 e46 e1 o-49 e19 
L8m3AGr: e1 e46 e1 o-49 e34 
R3m26AG: o1 o53 e-11 e-39 o31 
L-15m26AG: e1 e53 e-32 e8 e9999 
R-3m23AF: e1 e53 e-38 o-49 e0 
L-5m26AG: o1 o53 o-58 e8 o9999 
L14m26AG: e1 e53 e-58 o54 o13 
L15m23AF: e1 e56 o-33 e27 e0 
L-3m-24AA: o4 o9999 o17 o32 o9999 
L-3m-25AAr: o4 o9999 o17 o32 o6 
L-3m-32AA: o4 o9999 o17 o32 o15 
L-3m-27AAr: o4 o9999 o17 o32 o20 
R-11m-8ADr: o5 e-11 o-2 e-4 o9999 
R-4m4ADr: e5 o-11 e15 o-19 o9999 
R-4m7AD: e5 o-11 e15 o-19 e0 
R-4m-5AAr: e5 o-11 e15 o-19 o-24 
L1m7AEr: o5 e-13 o-2 o32 o12 
R-23m7AEr: o5 e-13 o7 e26 o15 
R-7m6ABr: e5 e-18 o-13 e2 e-7 
R-7m6AE: e5 e-18 o-13 e2 o-48 
L-4m7AEr: o5 o-18 o-17 e13 e6 
L-8m-6AC: o5 e-23 e-13 o32 o-6 
L-8m-9AAr: o5 e-23 e-13 o32 e-7 
L-8m-13AB: o5 e-23 e-13 o37 o-18 
L-23m-8ABr: e5 o-23 e-46 o-29 o-37 
L-19m7AEr: o5 o-30 o20 o-46 e-30 
R-16m7AEr: o5 o-30 o22 o0 e-30 
L2m7AEr: o5 o-30 o25 e-53 o-5 
L-11m7AEr: e5 e-30 e39 o32 e12 
R-7m7AEr: o5 o-30 e8 o53 e5 
R-10m7AEr: o5 o-32 o-9999 e-1 e-1 
L-18m7AEr: o5 o-32 o11 o32 e-1 
R-12m-5AAr: o5 o-32 o21 o-6 o-18 
L-12m7AEr: e5 e-32 e22 e-37 e31 
L-21m7AEr: o5 o-32 o-21 o-46 o-9999 
R-19m-8AA: o5 o-32 o-23 e-10 o12 
R-19m1AAr: o5 o-32 o-23 e-10 o14 
R-19m-13AB: o5 o-32 o-23 e-10 o38 
R0m7AEr: e5 e-32 o-24 o-5 o-1 
R0m-4AA: e5 e-32 o-24 e9 e48 
R-5m13AGr: e5 e-32 o-52 e17 e1 
R-9m-11AF: o5 o-34 e9999 o-25 o24 
L-13m7AEr: e5 e-34 e-17 e-46 o-32 
L10m-4AE: o5 o-34 o-21 e-53 e-9 
R-4m-22ADr: o5 o-34 o-49 e11 e38 
R-14m-14ABr: e5 e-36 e9999 o-22 e-20 
R-20m7AEr: e5 e-36 e18 o16 o-44 
R-13m7AEr: e5 e-36 e35 e-10 e9999 
L-20m7AEr: e5 e-36 o10 e-27 e-21 
R-24m7AEr: o5 o-38 o33 o-19 e-30 
R-19m7AEr: o5 o-38 e-12 o-32 e-1 
L-17m-8AA: e5 e-38 o-44 o-5 e16 
L-12m12AFr: e5 o-43 e32 e23 e-1 
L-10m9AGr: o5 e-43 o53 e-49 o21 
R0m0AFr: o5 e-43 e-28 e-20 o3 
R-6m0AG: e5 o-43 o-28 o-32 o-49 
R6m7AAr: e5 e-44 e-14 o-52 e9999 
R6m-11AAr: e5 e-44 e-14 o-52 e-28 
R-15m7AEr: e5 e-44 o-21 e54 o-11 
L-10m-5AB: o5 o-46 o-57 o9999 o14 
L-10m-15AD: o5 o-46 o-57 e-1 o-26 
L-10m-6ADr: o5 o-46 o-57 o2 o-14 
L-10m-1AB: o5 o-46 o-57 o14 o-20 
L-10m7AD: o5 o-46 o-57 o14 e-31 
L-10m-4AG: o5 o-46 o-57 o14 o-36 
R-1m-2AA: e5 e-50 e0 e-2 o48 
L-1m10AA: e5 e-50 o-46 e-4 o-53 
L-1m-2AFr: e5 e-50 o-56 e-46 e24 
L-1m-8ADr: e5 e-50 o-56 o-53 e31 
R10m-5AF: o5 o-52 e0 e-7 e-24 
R-22m7AEr: e5 e-52 e-7 e-8 o0 
L-3m7AEr: o5 o-52 o-15 o-12 o0 
L-24m7AEr: e5 e-52 e-15 e55 e-9999 
L10m2ABr: o5 e-57 e-14 e-53 o-9999 
L10m-17AD: o5 e-57 e-20 o-56 e-31 
R-8m1AD: e5 e-58 e-9999 e1 e-26 
R-8m-4AA: e5 e-58 e-9999 e1 e-42 
R-3m-10AFr: o5 o-58 o-9999 o-23 e9999 
L-31m7AEr: e5 e-58 o17 o-21 o-30 
L-16m7AEr: o5 e-59 e-34 o5 e-27 
L-16m1AEr: o5 e-59 e-34 e-13 o17 
L-28m-16ABr: o-7 o-1 e6 o0 o-1 
L9m1AEr: e-7 e-5 o-6 e-9 o9999 
R-12m7AAr: o-7 e-16 o33 o0 o1 
L-2m0ABr: o-7 o-27 e9999 o22 e32 
L-2m-3ACr: o-7 o-27 e9999 o22 e54 
L-2m-1ACr: o-7 o-27 e9999 o22 e55 
R-45m-14ADr: e-7 o-28 o21 o3 o1 
R-32m-8AC: e-7 o-28 o58 e-1 e6 
R-32m-30AC: e-7 o-28 o58 e-1 e-28 
L-14m-3AAr: e-7 e-29 e9999 o32 o16 
L-14m-15AGr: e-7 e-29 e9999 o32 o21 
L-17m-3AAr: o-7 o-29 e3 o29 e16 
L-17m-15AGr: o-7 o-29 e3 o29 e21 
L-1m-1AEr: e-7 e-29 o11 o33 o-18 
L-1m-14AG: e-7 e-29 o11 o33 o-22 
R6m-8AC: o-7 o-29 e-11 o-35 o-23 
R-7m-15AF: o-7 o-29 e-49 e10 e-9999 
R-1m-26ABr: e-7 o-44 o12 e47 e0 
R-1m-17ACr: e-7 o-44 o12 e47 e21 
R-1m-21AB: e-7 o-44 o12 e47 e47 
L-12m2AFr: o10 o-9999 o29 o3 e0 
R-17m0AE: o10 o21 o0 o53 e5 
L-12m7AF: o10 o32 o9999 e30 o-39 
L-12m4AFr: o10 o32 o0 e3 e-15 
L-12m-1ACr: o10 o32 o0 e19 o1 
R-1m-12AG: e10 e33 o-36 e-9999 e16 
R-1m-13AGr: e10 e33 o-36 o-49 e9999 
R-1m-16AFr: e10 e33 o-36 o-49 e9 
L-19m0AG: e10 e42 e15 o-15 o33 
L-22m-10AA: e10 e49 o-21 e32 e-4 
R-8m3AD: o10 o53 o41 o-60 e-9999 
R-7m6AFr: o11 e-9999 o18 o0 o-40 
L-9m-19AGr: o11 o6 o-9999 o-22 o9999 
L-9m-22AFr: o11 o6 o-9999 o-22 o0 
L-9m-39AGr: o11 o6 o-4 e-23 o9999 
L-9m-42AFr: o11 o6 o-4 e-23 o0 
L-9m-28AFr: o11 o6 e-9 o20 o-52 
L-9m-25AEr: o11 o6 o10 e-24 o-36 
L-9m-15ACr: o11 o6 o-12 o3 o0 
L-9m-19ACr: o11 o6 o-12 o11 o9999 
L-9m-24ABr: o11 o6 o-12 o24 o9999 
L-9m-14AC: o11 o6 o24 o0 e-1 
L-9m-25AAr: o11 o6 o24 e-1 o-40 
L-9m-33ACr: o11 o6 o24 o9 o9999 
R-17m-31AEr: o11 o21 o9999 o53 o9 
R-17m-27ACr: o11 o21 o9999 o53 o20 
R-13m-9AB: o11 o31 o0 o9999 e-29 
R-13m-4AA: o11 o31 o13 o-33 o20 
R-13m-18ABr: o11 o31 o13 e-44 e34 
R-13m-5AD: o11 o31 o31 o8 o32 
R-13m2ABr: o11 o31 o32 o45 o-2 
L-31m8AFr: e11 e38 e17 e5 o21 
R-25m8AFr: o11 o38 o23 o-44 e21 
L-23m-6AG: e11 e60 e40 e9 e9 
R-40m-1AAr: o11 e10 e37 e-17 e-53 
L-31m-1AAr: e11 o10 o37 o-16 o-53 
R-14m-14AA: o11 e32 o-4 o-56 o58 
R-14m-13AD: o11 e32 o-4 o-56 o60 
L-27m-11AAr: o11 e32 o44 o4 o0 
L-20m-26AA: o11 e32 o50 o39 o34 
L-20m-15AEr: o11 e32 o50 o39 o50 
L-29m-1ACr: e11 o37 e-34 e-20 e1 
L-11m-7ACr: e15 e9999 o-1 e0 o-9999 
L-11m4AC: e15 e9999 o-1 e2 e-21 
L-11m1AAr: e15 e9999 o-1 e-2 e2 
L-11m10AE: e15 e9999 o-1 e-2 o-25 
L-11m-1AB: e15 e9999 o-1 e15 e-20 
L-11m-4ABr: e15 e9999 o-1 e15 o-21 
L-11m7AD: e15 e9999 o-1 e15 o-31 
L-11m-4AG: e15 e9999 o-1 e15 e-36 
L-11m5ACr: e15 e9999 o-1 o-25 e-9999 
L-11m3AD: e15 e9999 o-1 e29 e9999 
L-8m-29ACr: e15 e9999 e5 e22 e-12 
L-8m-28AA: e15 e9999 e5 e22 o-15 
L-25m6ADr: o15 e-1 e22 e-21 o31 
R-13m5AB: o15 o2 o19 e56 o7 
L-2m-13AAr: o15 o2 o32 o-9999 o-58 
L-2m-12ADr: o15 o2 o32 o-9999 o-60 
L-4m3AB: o15 o3 o-9999 e-24 o9999 
R0m-5ACr: e15 o-3 o-5 e-14 e-3 
L6m-17AD: e15 o-3 e18 e60 o-31 
L-17m-16AE: e15 o-3 e36 e45 e45 
R-11m-18ADr: o15 o-4 o-9999 o1 e-7 
R-11m-2ABr: o15 o-4 o-9999 o1 o-18 
R-11m4AA: o15 o-4 o-9999 o1 o-24 
R-11m1AF: o15 o-4 o-9999 o1 e-25 
R-14m4AE: e15 e-4 e-12 o-5 o16 
L-14m8AA: e15 e-4 o39 e-6 o-6 
R-19m0AC: o15 o-4 e39 o-30 o9 
L-20m-10AA: e15 e6 e9999 o-3 o58 
L-20m-9AD: e15 e6 e9999 o-3 o60 
L-20m-6AC: e15 e6 e9999 o-5 o3 
L-20m-14AFr: e15 e6 e9999 e-16 e9999 
L-20m-20AG: e15 e6 e9999 o-21 o-3 
R-22m3ACr: e15 e6 e-14 e0 o-9999 
R-22m7AAr: e15 e6 e-14 e1 e-24 
R-22m5AB: e15 e6 e-14 o-11 e2 
R-22m-8AC: e15 e6 e-14 o-11 o51 
R-22m6ADr: e15 e6 e-14 e-14 e-9999 
R-22m14ABr: e15 e6 e-14 o-21 o36 
R-22m19ACr: e15 e6 e-14 e26 e-9999 
R-22m24AFr: e15 e6 e-14 e31 e12 
R-12m-7AF: o15 o6 o-16 o14 o-9999 
R-19m-4AG: e15 e6 o-23 e-13 e54 
L-8m-8AFr: o15 o8 e-33 e-11 o-22 
L-8m3AF: o15 o8 e-33 o-14 e-5 
L-8m-22AE: o15 o8 e-33 o-18 o14 
L-8m-19ACr: o15 o8 e-33 o-18 e3 
L-8m-13ACr: o15 o8 e-33 o-18 e10 
L-8m1ACr: o15 o8 e-33 e-31 e-35 
L-8m-12AE: o15 o8 e-33 e-31 o-38 
L-7m17AAr: e15 e-8 e11 o-55 e9 
R-1m7AGr: o15 o-8 e-4 o1 e9999 
R-1m4AFr: o15 o-8 e-4 o1 e-1 
R-1m24AC: o15 o-8 e-4 o-12 o9999 
L1m-20AA: o15 o-8 e31 o32 o9999 
L1m-21AAr: o15 o-8 e31 o32 o6 
L1m-28AA: o15 o-8 e31 o32 o15 
L1m-23AAr: o15 o-8 e31 o32 o20 
L-20m2AC: o15 o10 o-9999 e-35 e43 
L-20m1ACr: o15 o10 o-9999 e-35 e55 
L-42m10AFr: o15 o10 o8 e-18 e-60 
L-20m-7ACr: e15 e10 e-8 e0 o-9999 
L-20m4AC: e15 e10 e-8 e2 e-21 
L-20m1AAr: e15 e10 e-8 e-2 e2 
L-20m10AE: e15 e10 e-8 e-2 o-25 
L-20m-1AB: e15 e10 e-8 e15 e-20 
L-20m-4ABr: e15 e10 e-8 e15 o-21 
L-20m7AD: e15 e10 e-8 e15 o-31 
L-20m-4AG: e15 e10 e-8 e15 e-36 
L-20m5ACr: e15 e10 e-8 o-25 e-9999 
L-20m3AD: e15 e10 e-8 e29 e9999 
R-18m-12AE: e15 e10 e11 e45 o-55 
R-13m5AEr: o15 o10 o30 o-12 e-5 
R-13m-4ABr: o15 o10 o30 o-12 e5 
R-13m2AA: o15 o10 o30 o-12 e7 
R-8m8AFr: e15 e10 e39 e7 o-3 
R-8m3ACr: e15 e10 e39 e15 e21 
R-8m-3ACr: e15 e10 e39 e-34 o-9999 
L5m-13AEr: e15 e-16 e-9999 o12 o-9999 
L-17m-33ACr: o15 o-16 e-13 e5 o9999 
L-11m-16ABr: e15 e-16 e17 e-7 e1 
L-11m-26AFr: e15 e-16 e17 o15 o-47 
L-11m-38AE: e15 e-16 e17 o15 o14 
R-16m8ADr: e15 e-16 o-25 e-24 o-9999 
L7m1AAr: o15 o-16 o-3 e-1 o15 
L6m-21AD: e15 e-16 e-5 o-47 o-1 
R-12m7AB: e15 e-16 o6 e-18 e-9999 
R2m-5AD: e15 e-18 e6 o58 o9999 
R-14m-7ACr: o15 o-18 o15 e-1 o9999 
R-14m-16AFr: o15 o-18 o15 e-1 e-15 
R-14m-8ADr: o15 o-18 o15 e-1 o-58 
L0m-4AA: e15 e-18 e20 e25 e1 
L0m-3AAr: e15 e-18 e20 e25 o-15 
R2m8AA: e15 e-18 e20 o39 e2 
L-14m-9AAr: e15 e-22 e-24 e2 e-4 
L-14m-12ADr: e15 e-22 e-24 e5 e4 
L-14m-16AFr: e15 e-22 e-24 e5 e-35 
L-14m-3AD: e15 e-22 e-24 o-15 o-9999 
L-14m-6ADr: e15 e-22 e-24 o-15 e0 
L-14m2AFr: e15 e-22 e-24 o-25 e11 
L-14m-5AD: e15 e-22 e-24 e-38 e-20 
L-14m-12AC: e15 e-22 e-24 e-38 o-31 
L-14m-12AA: e15 e-22 e-24 e-38 e-56 
L1m-16AG: o15 o-24 o7 o-9999 e6 
L1m-1AD: o15 o-24 o7 e20 e-1 
R-23m-22AG: e15 e-44 o-5 e27 e1 
R-36m-25AAr: e15 e-44 e-10 o-19 o23 
L3m-17ACr: e15 e-48 e7 e-9999 o-15 
R-1m-15AEr: o15 e-51 o9999 o53 o9 
R-1m-11ACr: o15 e-51 o9999 o53 o20 
L-3m-21AEr: e15 o-57 e8 o12 o-9999 
R-10m-4AC: o15 e-57 o25 o9999 o9999 
R-10m3AD: o15 e-57 o25 o9999 o-10 
R-10m-9AAr: o15 e-57 o25 o-9999 o-9999 
R-10m-10AA: o15 e-57 o25 o-9999 e-7 
R-10m-1ACr: o15 e-57 o25 o-9999 o15 
R-10m-12AA: o15 e-57 o25 o-9999 e-19 
R-10m0AA: o15 e-57 o25 o-9999 o26 
R-10m2AC: o15 e-57 o25 o-9999 o28 
R-10m-7AAr: o15 e-57 o25 o-9999 o31 
R-10m-5ACr: o15 e-57 o25 e-1 o9999 
R-10m-14AFr: o15 e-57 o25 e-1 e-17 
R-10m23AD: o15 e-57 o25 e6 e-32 
R-10m-13AB: o15 e-57 o25 o-7 o-9999 
R-10m-3AF: o15 e-57 o25 e13 e-2 
R-10m-3AD: o15 e-57 o25 e13 e-6 
R-10m-9ACr: o15 e-57 o25 e13 e35 
R-10m-10AE: o15 e-57 o25 e20 e16 
R-10m-4ADr: o15 e-57 o25 o-23 o0 
R-10m-16AC: o15 e-57 o25 e25 e-27 
R-10m-25ACr: o15 e-57 o25 e25 o-42 
R-10m-12AE: o15 e-57 o25 e25 o-1 
R-25m-11AD: e15 o-57 e41 o-31 o-19 
R-25m-7AAr: e15 o-57 e41 o-31 e-30 
R-11m0AA: o19 o-9999 o29 o-9999 e12 
R-11m9AAr: o19 o-9999 o29 o-9999 e14 
R-11m-5AB: o19 o-9999 o29 o-9999 e38 
R-11m-6ABr: o19 o-9999 o29 o2 o9999 
L-19m-8ABr: o19 o-9999 e48 e35 e2 
L-19m-23ACr: o19 o-9999 e48 e44 o-8 
L-12m0AA: o19 e-9999 o-9999 o32 e12 
L-12m9AAr: o19 e-9999 o-9999 o32 e14 
L-12m-5AB: o19 e-9999 o-9999 o32 e38 
L-24m-10AE: o19 o6 o32 o9999 o13 
L-24m4AE: o19 o6 o32 o8 o-9999 
L-24m9ACr: o19 o6 o32 o8 o15 
L-24m0AFr: o19 o6 o32 o8 o-16 
R-28m2AC: e19 e10 e6 e26 o26 
R-14m0AA: e19 e12 e3 e9999 o12 
R-14m9AAr: e19 e12 e3 e9999 o14 
R-14m-5AB: e19 e12 e3 e9999 o38 
R-14m7ACr: e19 e12 e3 e0 o8 
R-14m5ACr: e19 e12 e3 e17 e-9 
R-14m5AAr: e19 e12 e3 e17 o10 
R-38m0AA: e19 e12 e45 e6 o12 
R-38m9AAr: e19 e12 e45 e6 o14 
R-38m-5AB: e19 e12 e45 e6 o38 
R14m-7AAr: e19 e15 o25 o-32 e-9999 
R14m-8AA: e19 e15 o25 o-32 e-6 
R14m-15AAr: e19 e15 o25 o-32 o-15 
R14m-10AA: e19 e15 o25 o-32 e-20 
L-7m-15ACr: e19 e15 o39 e7 e9999 
L-7m13AD: e19 e15 o39 e7 e-9999 
R1m3AAr: e19 e15 o39 e-18 e32 
R1m-19AGr: e19 e15 o39 e-18 e60 
L-11m2AA: o19 o15 e46 o26 o0 
L-11m-15ACr: o19 o15 e46 o55 o21 
L-11m0AE: o19 o15 e46 o55 o36 
R-3m3AD: o19 o15 e46 e-4 o-33 
L-18m-5AD: o19 o23 o9999 e-37 o1 
L-18m-21AF: o19 o23 o9999 e-37 o44 
L-18m-22AA: o19 o23 o9999 e-37 o47 
R-20m-14AG: o19 o23 o7 e-44 o30 
L-11m2AC: e19 e23 e8 e42 o26 
R-12m2AC: e19 e23 e-18 o-17 o26 
L-31m-44AA: o19 o23 o-26 o-10 o1 
L-21m-7AB: e19 e23 e-47 e5 e33 
R-13m0ADr: o19 o30 o-32 o37 o1 
R-13m-16AFr: o19 o30 o-32 o37 o-44 
R-13m-17AAr: o19 o30 o-32 o37 e-47 
L-12m7ACr: o19 o32 o-9999 o6 o9 
L-12m8AFr: o19 o32 o-9999 o7 o-9999 
L-12m7AD: o19 o32 o-9999 o8 o-10 
L-12m-7AAr: o19 o32 o-9999 o14 o20 
L-12m-2AA: o19 o32 o-9999 o14 o24 
L-12m8AA: o19 o32 o-9999 o26 e-9999 
L-12m4AA: o19 o32 o-9999 o31 o-9999 
L-12m14AC: o19 o32 o-9999 e2 o25 
L-12m1ACr: o19 o32 o-9999 o-3 e-3 
L-12m2AA: o19 o32 o-9999 e-6 e58 
L-12m3AD: o19 o32 o-9999 e-6 e60 
L-12m-5AF: o19 o32 o-9999 o-9 e16 
L-12m8ADr: o19 o32 o-9999 o-19 e6 
L-12m-13ACr: o19 o32 o-9999 e24 o-7 
L-12m-19AAr: o19 o32 o-9999 e26 e-58 
L-12m-18ADr: o19 o32 o-9999 e26 e-60 
L-12m4ADr: o19 o32 o-9999 e28 o-9999 
L-12m1AEr: o19 o32 o-9999 e-32 e-16 
L-12m-5ACr: o19 o32 o-9999 o-37 o27 
L-12m-14AC: o19 o32 o-9999 o-37 o42 
L-12m-1AEr: o19 o32 o-9999 o-37 e1 
L-12m-10AA: o19 o32 o-9999 e50 o-20 
L-12m-5AAr: o19 o32 o-9999 e50 o-24 
L-12m-9AEr: o19 o32 o-9999 e54 o-9999 
L-12m-15AEr: o19 o32 e9999 e22 e-15 
L-12m0AE: o19 o32 e9999 e25 e-33 
L-12m10ABr: o19 o32 e-9999 o15 e-9999 
L-12m9AD: o19 o32 e-9999 o18 e17 
L-12m-5AGr: o19 o32 e-9999 e17 o52 
L-12m-16ADr: o19 o32 e-9999 e34 o29 
L-12m1AD: o19 o32 e-9999 e34 e26 
L-12m3AAr: o19 o32 o9 o3 o0 
L-12m9ACr: o19 o32 o9 e-5 o17 
L-12m10AA: o19 o32 o10 o-9999 o5 
L-12m8AC: o19 o32 o10 o-9999 e-19 
L-12m-16AE: o19 o32 o10 o-9999 e0 
L-12m-10ABr: o19 o32 o10 o-9999 e-36 
L-12m-4ADr: o19 o32 o10 o-9999 o-45 
L-12m-12ABr: o19 o32 e16 e40 e51 
L-12m4AC: o19 o32 e22 o9999 e-15 
L-12m0AC: o19 o32 e22 o1 o-9999 
L-12m-9AF: o19 o32 e22 o1 o17 
L-12m28ADr: o19 o32 e22 e-6 e32 
L-12m2ADr: o19 o32 e22 o-13 e6 
L-12m-4AC: o19 o32 e22 o-13 o-35 
L-12m-5AEr: o19 o32 e22 e-20 e-16 
L-12m-11ACr: o19 o32 e22 o-25 o27 
L-12m-20AC: o19 o32 e22 o-25 o42 
L-12m-7AEr: o19 o32 e22 o-25 e1 
L-12m4AG: o19 o32 e23 e-55 o-9999 
L-12m1AF: o19 o32 e23 e-55 o0 
L-12m2ABr: o19 o32 e25 o0 o24 
L-12m-6AC: o19 o32 e25 e-1 e-5 
L-12m13AEr: o19 o32 e33 o5 o-24 
L-12m5AEr: o19 o32 e33 o5 e-29 
L-12m14ABr: o19 o32 e33 o5 o-46 
L-12m-14AA: o19 o32 e33 o12 o-4 
L-12m-17AF: o19 o32 e33 o12 o9 
L-12m-3AB: o19 o32 e33 o12 e-29 
L-12m-8AA: o19 o32 e33 o45 e58 
L-12m-7AD: o19 o32 e33 o45 e60 
L-12m-17AD: o19 o32 e33 e-45 e-20 
L-12m0ADr: o19 o32 e33 e3 e-1 
L-12m7AB: o19 o32 e39 o-4 o39 
L-12m4ABr: o19 o32 e39 o-4 e4 
L-12m-7AB: o19 o32 e39 e-19 o9999 
L-12m9AF: o19 o32 e39 o-22 o37 
L-12m17AGr: o19 o32 e39 o-46 o-9999 
L-12m-9ACr: o19 o32 e39 e0 o18 
L-12m-16AC: o19 o32 e39 e9 e7 
L-12m4AE: o19 o32 e39 e20 e9999 
L-12m-13AB: o19 o32 e39 e32 o-50 
L-12m0AFr: o19 o32 e39 e40 o-9999 
L-12m-11AD: o19 o32 e39 e41 o-30 
L-12m2AG: o19 o32 e39 e43 e0 
L-12m-15AB: o19 o32 e39 e52 e-4 
L-12m-8AC: o19 o32 e41 o9 o15 
L-12m-18AE: o19 o32 e41 o-12 o-16 
L-12m-10ADr: o19 o32 e41 e-17 o9999 
L-12m-9AD: o19 o32 e41 e4 o60 
L-12m1AAr: o19 o32 e42 o-9999 o10 
L-12m3ACr: o19 o32 e42 e-9999 o8 
L-12m-20AFr: o19 o32 e42 o11 o-16 
L-12m-19AB: o19 o32 e42 o11 o-24 
L-12m-11AAr: o19 o32 e42 o41 o-58 
L-12m-6ABr: o19 o32 e42 o45 o20 
L-12m-9AGr: o19 o32 e42 o45 o36 
L-12m3AGr: o19 o32 e42 o48 o-9999 
L-12m-2ABr: o19 o32 e42 o56 o20 
L-12m6ADr: o19 o32 e42 o56 o31 
L-12m15AD: o19 o32 e42 e5 o30 
L-12m12AE: o19 o32 e42 e13 o-9999 
L-12m-11AB: o19 o32 e44 e-24 o21 
L-12m-11AGr: o19 o32 e44 e-24 o36 
L-12m-2AG: o19 o32 e44 o-25 o9999 
L-12m-23AAr: o19 o32 e45 o13 o-43 
L-12m-21AD: o19 o32 e45 o40 o16 
L-12m-18ABr: o19 o32 e45 o40 o46 
L-12m-7ACr: o19 o32 e45 o-3 o15 
L-12m-10AC: o19 o32 e45 e-8 o4 
L-12m-3AD: o19 o32 e45 e-8 e16 
L-12m14ADr: o19 o32 e45 e16 o-54 
L-12m6AC: o19 o32 e45 e20 e3 
L-12m9AEr: o19 o32 e45 e33 o-9999 
L-12m-6AE: o19 o32 e46 o16 o34 
L-12m-20ABr: o19 o32 e46 e-37 e-10 
L-12m2AE: o19 o32 e46 e3 e-1 
L-12m11AF: o19 o32 e46 e-12 o9999 
L-12m-25AF: o19 o32 e46 e24 o20 
L-12m-15AAr: o19 o32 e46 e24 o43 
L-12m-9AAr: o19 o32 e46 e28 o38 
R-19m-33AB: o19 o33 e-1 o7 o-9999 
L-31m-47AB: o19 o33 o47 o13 o-30 
L-31m-46ADr: o19 o33 o47 o22 e-24 
L-31m-50AE: o19 o33 o47 e-33 e-1 
L-31m-47AGr: o19 o33 o47 o35 o-9999 
L-31m-37AEr: o19 o33 o47 e-45 o55 
L-18m-23AAr: o19 o33 o56 o2 o9999 
L-18m-37AAr: o19 o33 o56 o-6 e-35 
L-18m-17AAr: o19 o33 o56 o-6 o-25 
L-18m-30ADr: o19 o33 o56 o-8 o9 
L-18m-26AG: o19 o33 o56 o-8 o22 
L-18m-24AG: o19 o33 o56 o12 o-9999 
L-18m-27AF: o19 o33 o56 o12 o0 
R-20m-43AAr: e19 e33 o0 e-8 o-12 
R-20m-34AA: e19 e33 o0 e-8 o-14 
R-20m-48ABr: e19 e33 o0 e-8 o-38 
R-18m-2AA: o19 o38 o-18 o-57 o0 
R-5m7AB: o19 o53 o0 o28 e-42 
R-5m-1ACr: o19 o53 o0 e41 o-57 
R-5m5AAr: o19 o53 o15 o-9999 e57 
R-5m1AEr: o19 o53 o15 e9999 o-9999 
R-5m-12AC: o19 o53 e2 o-8 o0 
R-5m-26ABr: o19 o53 e2 o-8 o11 
R-5m-18ABr: o19 o53 e2 o-8 o25 
R-5m7ACr: o19 o53 e5 o-9999 e8 
R-5m5ACr: o19 o53 e5 e-9999 o-9 
R-5m19AD: o19 o53 e5 o5 e30 
R-5m16AE: o19 o53 e5 o13 o-9999 
R-5m-10AC: o19 o53 e5 e11 e-11 
R-5m-16AFr: o19 o53 e5 e11 o-16 
R-5m-15AB: o19 o53 e5 e11 o-24 
R-5m6AC: o19 o53 e5 e16 o-21 
R-5m1ACr: o19 o53 e5 e37 e-3 
R-5m-7AAr: o19 o53 e5 e41 e-58 
R-5m-6ADr: o19 o53 e5 e41 e-60 
R-5m-2ABr: o19 o53 e5 e45 o20 
R-5m6ADr: o19 o53 e5 e45 o31 
R-5m-5AGr: o19 o53 e5 e45 o36 
